# of Items,Selection,Insertion,Merge,Quick
5000,32855142,13385193,2218901,2451433
10000,44968281,36957063,1070686,859893
20000,144535786,51478981,2938239,1857345
40000,714345765,182124468,4387652,3862790
80000,2031073812,728223535,9142092,7970677
100000,3167820785,1296233297,11757386,10352576
